Email No.,the,to,ect,and,for,of,a,you,hou,in,on,is,this,enron,i,be,that,will,have,with,your,at,we,s,are,it,by,com,as,from,gas,or,not,me,deal,if,meter,hpl,please,re,e,any,our,corp,can,d,all,has,was,know,need,an,forwarded,new,t,may,up,j,mmbtu,should,do,am,get,out,see,no,there,price,daren,but,been,company,l,these,let,so,would,m,into,xls,farmer,attached,us,information,they,message,day,time,my,one,what,only,http,th,volume,mail,contract,which,month,more,robert,sitara,about,texas,nom,energy,pec,questions,www,deals,volumes,pm,ena,now,their,file,some,email,just,also,call,change,other,here,like,b,flow,net,following
Email 25,0,0,1,0,4,0,10,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,5,1,1,3,0,1,0,1,1,13,0,0,0,0,4,0,0,0,0,0,1,0,0,9,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Email 26,12,53,2,14,18,14,287,0,2,86,50,47,6,0,300,7,3,0,0,4,0,45,2,275,2,7,0,5,29,2,0,68,4,18,1,2,0,0,1,29,265,4,0,1,2,101,3,2,0,0,0,52,0,4,221,2,5,2,0,2,0,4,1,2,1,8,0,0,0,0,0,2,136,2,1,3,0,90,0,0,0,0,4,2,0,0,0,1,0,1,0,1,0,29,0,2,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,32,0,0,0
Email 27,5,4,1,1,4,4,51,0,1,8,6,6,2,0,44,6,0,0,0,0,0,2,0,77,1,5,0,0,13,2,3,5,2,5,1,2,2,1,2,12,114,0,5,0,0,24,2,4,0,0,0,4,0,0,54,0,0,2,1,1,2,0,0,0,0,3,0,2,1,0,1,0,43,0,0,6,1,15,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,9,1,1,0,0,1,0,0,3,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1
Email 28,1,1,2,0,1,0,14,1,0,0,9,1,0,3,13,0,0,0,1,0,0,1,0,16,0,0,1,1,1,0,0,4,0,2,0,1,0,0,0,1,30,1,0,2,0,11,0,0,0,1,0,1,1,0,19,0,0,2,0,0,0,4,0,1,0,1,0,0,0,0,0,0,6,0,1,2,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
Email 29,18,14,2,3,1,5,87,3,1,16,18,9,0,3,66,1,1,0,1,3,1,8,8,83,1,10,1,1,27,2,10,8,2,15,0,3,1,0,0,11,142,0,3,3,0,26,1,2,2,1,0,12,1,1,114,0,6,6,0,0,0,2,1,2,0,7,0,1,0,2,0,0,35,0,1,13,0,36,3,0,0,0,7,0,0,0,0,2,0,0,0,0,0,30,0,0,1,0,0,1,0,0,0,8,1,3,0,2,0,0,0,2,0,4,3,0,3,0,1,2,0,0,1,2,0,12,1,0,0
Email 30,9,11,47,2,3,11,83,2,22,12,23,8,5,0,59,4,1,1,3,2,0,16,5,58,0,9,1,0,2,2,0,11,2,6,0,2,0,0,0,12,183,3,1,0,1,55,3,0,0,1,1,11,1,0,164,0,0,6,0,0,4,1,0,0,2,7,0,0,0,1,0,0,47,0,1,3,2,28,0,0,0,0,7,0,0,0,0,2,0,2,2,0,0,27,0,0,5,0,6,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,1,0,2,0,0,0,0,0,2,24,0,0,0
Email 31,6,0,1,0,1,7,28,0,0,5,12,2,1,0,19,2,0,2,1,0,0,2,0,25,0,0,0,0,2,1,0,4,0,1,0,0,0,0,1,1,35,1,0,0,0,4,3,0,0,0,0,3,0,0,29,0,3,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,23,0,0,5,0,6,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,1
Email 32,0,1,1,0,0,0,8,0,0,2,1,1,0,0,11,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,10,0,0,0,0,5,2,0,0,0,0,0,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Email 33,21,14,43,22,9,6,191,15,19,27,47,47,11,0,137,20,6,1,6,3,2,13,7,151,1,8,4,1,14,9,1,21,10,39,4,8,7,2,10,24,331,0,3,0,1,79,8,1,1,4,2,53,3,0,236,0,2,13,0,0,11,7,1,2,0,37,4,0,0,2,0,0,124,0,4,10,0,94,0,0,0,0,12,0,1,0,3,0,0,0,1,0,0,73,6,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,7,0,4,1,0,1,0,0,1,5,0,0,5,0,70,0,1,0
Email 34,7,8,10,0,1,0,50,0,4,9,8,11,5,0,45,3,2,1,1,3,0,4,2,41,3,5,0,2,4,0,0,3,1,7,10,1,0,0,0,16,111,0,0,0,0,27,0,1,2,1,2,4,0,0,71,0,0,15,0,1,1,0,0,0,0,8,0,0,3,1,0,0,35,0,0,0,1,21,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1
Email 35,6,6,4,0,1,0,39,0,1,8,7,10,5,0,37,2,0,0,1,3,0,2,2,32,1,5,0,2,4,0,0,3,1,3,8,1,0,0,0,9,75,0,0,0,0,21,0,1,2,1,2,4,0,0,54,0,0,8,0,0,0,0,0,0,0,7,0,0,1,1,0,0,27,0,0,0,1,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
Email 36,3,2,1,0,1,1,25,1,0,4,5,2,1,0,15,1,1,0,1,0,0,3,2,13,1,0,1,0,1,0,0,3,1,5,0,1,3,0,0,3,38,1,0,0,0,9,0,0,1,1,0,5,0,3,29,0,0,4,2,0,0,1,0,0,0,2,0,0,0,0,0,0,16,0,1,1,0,12,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1
Email 37,11,6,7,5,4,1,71,4,5,3,11,7,3,0,45,3,3,1,4,0,2,14,3,54,2,4,2,1,7,1,0,7,3,4,0,3,0,0,3,11,96,3,2,0,0,32,2,0,2,1,0,19,1,0,80,0,2,5,0,2,0,1,0,0,1,8,1,0,2,0,0,0,32,0,2,0,1,25,0,0,0,2,4,0,2,0,2,0,0,0,1,0,0,22,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,1,0,1,2,3,0,0,0,0,1,2,0,1,0,8,0,0,0
Email 38,5,1,2,1,1,0,19,1,0,0,7,1,0,3,16,2,1,0,0,0,0,1,1,16,3,0,1,1,1,1,0,3,2,2,0,2,0,0,0,8,36,0,0,2,0,11,0,0,0,0,0,3,1,0,20,1,0,4,0,0,0,2,0,1,0,2,0,0,0,1,0,0,8,1,0,2,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,6,0,0,0
Email 39,7,2,1,3,1,3,27,1,1,3,4,3,1,0,18,1,0,1,1,1,1,5,1,16,1,3,0,0,2,1,0,2,3,1,1,1,0,0,1,5,43,1,1,0,0,11,0,0,0,0,1,5,0,0,34,0,1,2,0,1,1,0,0,1,1,3,0,0,0,0,0,0,12,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Email 40,8,4,1,2,4,1,38,6,0,11,1,4,0,0,65,2,1,13,0,0,5,7,0,47,0,2,0,0,5,0,0,11,11,2,0,0,0,0,0,4,58,0,6,0,0,13,1,0,1,0,0,9,0,0,52,0,1,19,0,0,2,0,2,0,0,12,0,0,0,1,0,0,68,0,0,2,0,14,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,2,21,0,0,0
Email 41,2,3,1,5,1,0,45,0,0,8,6,10,2,0,37,2,0,0,0,0,0,3,0,39,0,2,0,1,3,1,0,4,0,4,0,1,0,0,0,4,36,1,3,0,0,21,2,0,1,0,0,10,0,0,29,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,20,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0
Email 42,5,5,8,2,2,0,41,1,4,2,6,4,1,0,21,3,2,1,2,0,0,5,1,20,1,2,1,0,3,2,1,5,0,4,0,1,1,0,0,3,42,1,0,0,1,18,1,1,0,1,1,9,1,0,41,0,1,7,0,1,1,2,0,0,0,2,1,0,1,0,0,0,22,0,1,1,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,10,1,2,0
Email 43,4,1,1,0,0,0,23,2,0,5,4,1,0,0,24,2,2,0,2,0,0,3,3,11,3,0,0,0,0,2,0,0,1,0,3,1,0,0,0,3,37,0,0,0,0,6,0,0,0,1,0,3,0,0,26,0,1,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,17,1,1,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Email 44,2,8,20,4,5,2,57,7,10,10,10,7,6,0,39,17,1,0,1,0,0,6,1,37,2,1,2,0,8,0,0,6,3,11,2,3,5,0,1,10,133,2,0,0,1,36,1,0,5,2,5,17,2,0,77,0,1,6,0,2,6,5,0,3,0,8,0,0,0,1,1,0,29,0,1,2,0,34,0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,17,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,1,0,0,1,0,0,0,26,0,4,0
Email 45,7,8,3,7,6,0,48,3,1,7,5,9,5,0,30,1,1,0,0,1,0,5,0,45,1,4,0,0,9,1,1,6,0,7,1,2,2,0,1,5,58,0,1,0,3,25,1,2,1,0,0,13,0,0,53,0,0,2,0,1,0,0,0,0,1,1,0,0,0,2,0,0,26,2,0,0,0,14,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,18,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,3,0,0
Email 46,7,7,2,7,5,5,61,8,1,10,6,2,0,0,58,0,0,0,1,2,6,8,5,59,3,8,1,2,4,1,0,14,0,5,0,2,0,0,0,16,91,1,9,0,0,32,2,1,1,2,0,13,0,1,58,0,0,4,0,0,5,1,1,0,0,3,0,0,0,0,0,0,47,0,1,2,0,22,0,0,0,0,6,0,0,0,1,1,0,0,1,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1
Email 47,4,0,1,0,4,0,21,0,0,6,2,0,0,1,9,1,0,0,0,0,0,5,0,6,0,0,0,1,1,3,1,5,0,4,0,0,0,0,0,4,22,1,0,0,0,4,0,0,0,0,0,8,0,0,25,0,0,3,4,0,0,0,0,0,0,5,0,0,0,0,0,1,9,0,0,0,0,21,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2
Email 48,16,13,4,0,13,3,91,14,0,11,24,11,0,4,70,1,4,1,4,2,1,16,2,76,2,8,2,3,10,3,3,24,0,10,0,0,0,2,0,9,104,4,1,4,3,31,3,1,1,1,1,16,2,0,111,1,3,5,0,0,9,8,0,1,0,6,2,0,0,0,0,0,41,0,0,4,0,48,4,0,0,0,2,0,1,0,0,0,0,0,4,0,0,34,3,0,1,1,3,1,0,0,0,1,3,0,0,5,0,0,2,4,0,1,0,0,1,0,0,0,0,1,0,3,0,9,0,0,0
Email 49,13,9,3,2,6,3,48,3,0,10,17,8,1,3,48,4,3,0,0,3,1,11,1,49,0,4,1,1,9,1,3,9,1,3,1,0,0,1,0,10,88,0,3,2,0,28,3,1,1,2,1,4,1,0,69,0,2,4,0,0,0,5,0,0,0,3,0,0,0,0,1,0,26,0,1,3,1,30,1,0,0,0,1,2,2,0,0,0,1,0,1,0,0,21,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,2,0,10,0,0,0
Email 50,2,6,1,1,3,0,56,0,0,4,19,0,0,0,17,3,0,3,0,0,0,2,0,38,0,0,0,0,10,0,6,6,0,0,0,0,0,0,0,1,56,0,0,0,0,30,4,0,0,0,0,7,0,0,52,0,0,3,0,0,2,1,0,0,0,10,0,0,0,0,0,0,38,0,0,2,0,22,0,0,0,0,1,0,0,0,10,0,0,2,0,0,0,22,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0,1,0
